iter	Passed	Remaining
400	28560	113886
401	28630	113808
402	28700	113732
403	28768	113651
404	28840	113583
405	28907	113493
406	28975	113409
407	29044	113331
408	29108	113232
409	29180	113161
410	29247	113075
411	29313	112985
412	29381	112903
413	29452	112830
414	29523	112757
415	29592	112677
416	29659	112590
417	29724	112497
418	29791	112411
419	29858	112325
420	29925	112238
421	29994	112161
422	30064	112085
423	30130	111995
424	30201	111923
425	30270	111843
426	30340	111769
427	30407	111685
428	30475	111601
429	30547	111534
430	30622	111475
431	30691	111399
432	30763	111330
433	30834	111258
434	30902	111177
435	30965	111078
436	31035	111004
437	31106	110930
438	31170	110838
439	31239	110757
440	31306	110671
441	31379	110609
442	31445	110520
443	31514	110442
444	31583	110365
445	31655	110298
446	31726	110228
447	31793	110140
448	31860	110055
449	31933	109992
450	31996	109895
451	32063	109811
452	32134	109738
453	32207	109674
454	32277	109600
455	32346	109523
456	32420	109464
457	32487	109378
458	32549	109279
459	32621	109209
460	32689	109130
461	32757	109050
462	32831	108989
463	32904	108925
464	32971	108841
465	33036	108752
466	33101	108659
467	33171	108585
468	33247	108533
469	33313	108445
470	33391	108399
471	33460	108320
472	33533	108255
473	33595	108157
474	33663	108076
475	33732	108001
476	33797	107911
477	33869	107842
478	33940	107772
479	34009	107696
480	34074	107607
481	34144	107532
482	34214	107461
483	34282	107380
484	34353	107310
485	34419	107226
486	34487	107144
487	34556	107067
488	34623	106984
489	34724	107006
490	34822	107021
491	34901	106973
492	34970	106897
493	35034	106806
494	35109	106746
495	35181	106679
496	35245	106588
497	35327	106551
498	35394	106467
499	35461	106383
500	35527	106299
501	35595	106220
502	35663	106140
503	35738	106080
504	35803	105991
505	35872	105917
506	35939	105834
507	36010	105762
508	36075	105675
509	36141	105588
510	36205	105499
511	36273	105419
512	36342	105344
513	36407	105256
514	36477	105181
515	36546	105106
516	36612	105021
517	36681	104945
518	36750	104868
519	36818	104790
520	36886	104712
521	36959	104646
522	37028	104572
523	37095	104491
524	37165	104416
525	37234	104342
526	37305	104271
527	37373	104192
528	37446	104127
529	37518	104059
530	37581	103969
531	37651	103894
532	37727	103838
533	37799	103771
534	37867	103693
535	37931	103603
536	37997	103520
537	38064	103440
538	38130	103356
539	38201	103285
540	38267	103202
541	38330	103110
542	38399	103033
543	38468	102958
544	38542	102897
545	38613	102828
546	38678	102742
547	38747	102666
548	38816	102590
549	38884	102514
550	38953	102439
551	39017	102350
552	39082	102264
553	39147	102178
554	39216	102105
555	39282	102020
556	39350	101944
557	39415	101859
558	39479	101770
559	39548	101695
560	39615	101617
561	39685	101542
562	39751	101461
563	39819	101384
564	39889	101311
565	39958	101238
566	40032	101174
567	40099	101096
568	40170	101026
569	40240	100953
570	40304	100867
571	40373	100791
572	40442	100717
573	40507	100634
574	40575	100556
575	40643	100478
576	40713	100406
577	40776	100319
578	40845	100244
579	40915	100172
580	40982	100094
581	41050	100017
582	41119	99942
583	41186	99863
584	41253	99783
585	41326	99720
586	41394	99642
587	41461	99563
588	41527	99482
589	41595	99406
590	41658	99317
591	41724	99236
592	41790	99155
593	41856	99074
594	41926	99002
595	41991	98920
596	42060	98846
597	42132	98778
598	42196	98694
599	42260	98608
600	42325	98525
601	42390	98441
602	42457	98363
603	42527	98292
604	42593	98211
605	42664	98141
606	42731	98065
607	42796	97982
608	42866	97909
609	42930	97825
610	42999	97752
611	43066	97674
612	43131	97590
613	43200	97516
614	43274	97455
615	43342	97380
616	43410	97305
617	43478	97229
618	43548	97158
619	43617	97083
620	43683	97003
621	43749	96923
622	43819	96852
623	43889	96780
624	43953	96697
625	44022	96623
626	44092	96552
627	44159	96476
628	44228	96402
629	44294	96322
630	44362	96247
631	44426	96164
632	44489	96078
633	44558	96004
634	44624	95925
635	44691	95848
636	44762	95778
637	44830	95704
638	44898	95628
639	44969	95559
640	45042	95495
641	45110	95420
642	45177	95344
643	45250	95279
644	45330	95228
645	45404	95167
646	45474	95095
647	45540	95016
648	45606	94937
649	45670	94853
650	45739	94781
651	45803	94697
652	45870	94620
653	45938	94545
654	46008	94475
655	46073	94395
656	46145	94327
657	46216	94259
658	46282	94179
659	46349	94103
660	46418	94031
661	46486	93955
662	46555	93883
663	46627	93816
664	46696	93743
665	46766	93673
666	46828	93586
667	46896	93511
668	46963	93434
669	47031	93360
670	47096	93280
671	47163	93204
672	47239	93145
673	47306	93068
674	47372	92990
675	47440	92915
676	47505	92836
677	47574	92762
678	47643	92689
679	47709	92611
680	47774	92533
681	47839	92452
682	47906	92375
683	47974	92302
684	48038	92219
685	48105	92143
686	48174	92072
687	48243	91999
688	48308	91919
689	48380	91851
690	48451	91783
691	48515	91701
692	48576	91615
693	48641	91536
694	48708	91459
695	48775	91383
696	48841	91305
697	48904	91222
698	48972	91149
699	49040	91075
700	49115	91013
701	49182	90939
702	49257	90876
703	49320	90794
704	49392	90728
705	49453	90642
706	49519	90564
707	49588	90492
708	49656	90418
709	49723	90342
710	49792	90270
711	49858	90193
712	49925	90117
713	49992	90042
714	50060	89968
715	50132	89902
716	50203	89833
717	50267	89752
718	50338	89684
719	50408	89614
720	50476	89541
721	50541	89461
722	50610	89391
723	50675	89312
724	50750	89250
725	50820	89180
726	50883	89098
727	50950	89024
728	51018	88950
729	51091	88884
730	51157	88808
731	51223	88730
732	51290	88655
733	51365	88595
734	51438	88530
735	51512	88466
736	51581	88396
737	51650	88324
738	51716	88246
739	51789	88181
740	51862	88116
741	51930	88044
742	52000	87973
743	52067	87898
744	52131	87819
745	52204	87754
746	52271	87678
747	52334	87597
748	52404	87527
749	52471	87453
750	52538	87376
751	52603	87299
752	52670	87224
753	52741	87157
754	52809	87083
755	52878	87011
756	52946	86937
757	53012	86861
758	53080	86788
759	53142	86706
760	53211	86635
761	53281	86564
762	53349	86492
763	53419	86422
764	53486	86348
765	53560	86283
766	53629	86212
767	53696	86138
768	53767	86070
769	53833	85993
770	53902	85923
771	53972	85852
772	54039	85778
773	54119	85723
774	54185	85647
775	54249	85568
776	54319	85498
777	54389	85429
778	54460	85360
779	54528	85288
780	54602	85224
781	54672	85154
782	54737	85076
783	54814	85018
784	54885	84949
785	54953	84876
786	55021	84804
787	55088	84729
788	55154	84654
789	55221	84580
790	55288	84506
791	55363	84443
792	55433	84373
793	55500	84299
794	55572	84232
795	55634	84150
796	55712	84092
797	55780	84020
798	55846	83944
799	55909	83863
800	55980	83795
801	56048	83723
802	56122	83659
803	56195	83593
804	56258	83514
805	56325	83440
806	56393	83366
807	56456	83287
808	56522	83211
809	56584	83130
810	56649	83053
811	56714	82977
812	56779	82899
813	56848	82828
814	56916	82756
815	56983	82681
816	57049	82606
817	57116	82532
818	57192	82471
819	57257	82395
820	57323	82320
821	57391	82247
822	57456	82170
823	57524	82097
824	57593	82027
825	57662	81956
826	57729	81881
827	57798	81811
828	57864	81736
829	57931	81662
830	57997	81586
831	58065	81514
832	58133	81442
833	58205	81375
834	58264	81290
835	58327	81211
836	58395	81139
837	58468	81073
838	58534	81000
839	58598	80921
840	58663	80844
841	58730	80772
842	58798	80699
843	58865	80626
844	58931	80551
845	58996	80474
846	59060	80397
847	59131	80329
848	59198	80256
849	59263	80179
850	59328	80104
851	59403	80041
852	59478	79978
853	59545	79905
854	59612	79831
855	59683	79763
856	59753	79694
857	59821	79622
858	59887	79548
859	59953	79472
860	60022	79402
861	60089	79329
862	60155	79254
863	60225	79185
864	60292	79111
865	60361	79041
866	60423	78962
867	60495	78895
868	60562	78821
869	60635	78756
870	60716	78701
871	60781	78625
872	60843	78546
873	60913	78476
874	60979	78401
875	61045	78328
876	61112	78255
877	61181	78184
878	61253	78118
879	61324	78049
880	61392	77977
881	61455	77899
882	61520	77823
883	61586	77749
884	61652	77674
885	61728	77613
886	61796	77541
887	61861	77466
888	61930	77395
889	61997	77322
890	62061	77245
891	62126	77170
892	62196	77101
893	62261	77025
894	62327	76951
895	62404	76890
896	62472	76819
897	62542	76749
898	62611	76679
899	62675	76603
900	62742	76530
901	62807	76454
902	62875	76383
903	62941	76309
904	63010	76239
905	63079	76168
906	63145	76094
907	63208	76017
908	63279	75948
909	63341	75870
910	63412	75802
911	63479	75729
912	63544	75655
913	63607	75577
914	63674	75504
915	63745	75436
916	63814	75366
917	63879	75291
918	63945	75217
919	64023	75157
920	64094	75090
921	64158	75014
922	64225	74941
923	64294	74870
924	64368	74806
925	64435	74734
926	64501	74659
927	64569	74588
928	64634	74513
929	64703	74443
930	64765	74365
931	64829	74289
932	64896	74217
933	64969	74151
934	65039	74082
935	65104	74008
936	65169	73933
937	65233	73857
938	65297	73780
939	65367	73712
