iter	Logloss
0	0.6891331035
1	0.685231269
2	0.6814999615
3	0.6780803121
4	0.6748489391
5	0.6718498393
6	0.6689697636
7	0.6662410286
8	0.6637462298
9	0.6613566022
10	0.6589618058
11	0.6567712809
12	0.6547130073
13	0.6527363677
14	0.6508784773
15	0.6491660934
16	0.6475405461
17	0.646076908
18	0.6447003966
19	0.6434048795
20	0.6421502654
21	0.6409178855
22	0.6397955063
23	0.6387521781
24	0.637738253
25	0.6367867081
26	0.6359079765
27	0.6350756715
28	0.6342528501
29	0.6335130808
30	0.632790292
31	0.6320892731
32	0.6314294881
33	0.6308549852
34	0.6302611719
35	0.6297466803
36	0.6292135759
37	0.6287169956
38	0.6282538862
39	0.6278297783
40	0.6274046034
41	0.626965418
42	0.6265748479
43	0.6262292244
44	0.625943049
45	0.6256172868
46	0.6253109376
47	0.6250328141
48	0.6247237549
49	0.6244898132
50	0.6242454146
51	0.6239936568
52	0.6237477434
53	0.6235081887
54	0.6232756996
55	0.6230857684
56	0.6228434558
57	0.6226647767
58	0.622490863
59	0.6223123922
60	0.6221683416
61	0.622007493
62	0.6218480913
63	0.6217155246
64	0.6215794204
65	0.6214394785
66	0.621323817
67	0.6212337511
68	0.6210752117
69	0.6209228268
70	0.620806758
71	0.6206919388
72	0.6206038769
73	0.6205088591
74	0.6204080487
75	0.6203085267
76	0.6202060515
77	0.6200934247
78	0.6200016836
79	0.6198834098
80	0.6198014478
81	0.6197302629
82	0.619645327
83	0.6195865276
84	0.6195143319
85	0.6194252591
86	0.619360707
87	0.6192969116
88	0.6192262608
89	0.6191656594
90	0.6190752611
91	0.6189874988
92	0.6189265739
93	0.6188669344
94	0.6188090946
95	0.6187606793
96	0.6187037352
97	0.6186363566
98	0.6185764538
99	0.6184980431
100	0.6184397722
101	0.6184071967
102	0.6183555299
103	0.6183169781
104	0.6182531071
105	0.6182029696
106	0.6181671822
107	0.6181133048
108	0.6180466049
109	0.6180159341
110	0.6179675965
111	0.6179315045
112	0.6179021881
113	0.6178681097
114	0.6178331613
115	0.6177934569
116	0.6177523669
117	0.6177189577
118	0.617656923
119	0.6176144297
120	0.6175735399
121	0.6175430414
122	0.617503942
123	0.6174764967
124	0.6174447363
125	0.6174186094
126	0.6173835552
127	0.6173501395
128	0.6173179894
129	0.6172718433
130	0.6172417296
131	0.6172225597
132	0.6171992229
133	0.617176933
134	0.6171429989
135	0.617095206
136	0.6170610366
137	0.6170362412
138	0.6170011344
139	0.6169685371
140	0.6169284638
141	0.6168806077
142	0.6168574186
143	0.6168030559
144	0.6167715301
145	0.6167374373
146	0.6167181733
147	0.6166733632
148	0.6166487726
149	0.6166271173
150	0.6166027592
151	0.6165742594
152	0.6165485667
153	0.6165293458
154	0.6164632557
155	0.6164425805
156	0.61640056
157	0.6163835787
158	0.6163607515
159	0.6163512902
160	0.6163304381
161	0.616309871
162	0.6162788324
163	0.6162569084
164	0.6162279125
165	0.6162074872
166	0.6161644522
167	0.6161319205
168	0.6161161411
169	0.6160861873
170	0.6160716379
171	0.6160341103
172	0.6160094924
173	0.615983088
174	0.6159504973
175	0.6159128485
176	0.6158825369
177	0.6158409832
178	0.6158197881
179	0.6157983688
180	0.6157733778
181	0.6157232874
182	0.6156789366
183	0.6156618743
184	0.6156454761
185	0.6156259984
186	0.6155911038
187	0.6155553752
188	0.6155220894
189	0.6155072318
190	0.6154781778
191	0.6154475683
192	0.6154143778
193	0.6154044905
194	0.6153822919
195	0.6153592413
196	0.6153446407
197	0.6153223986
198	0.615292142
199	0.6152727127
200	0.6152321549
201	0.6152040117
202	0.61516487
203	0.615143156
204	0.6151025878
205	0.6150817298
206	0.6150350549
207	0.6150022398
208	0.6149755888
209	0.6149609045
210	0.6149461405
211	0.6149363074
212	0.6149115393
213	0.614890852
214	0.6148577834
215	0.6148422213
216	0.614824529
217	0.6148070052
218	0.6147784261
219	0.61475938
220	0.6147507924
